id_solicitud,fecha_solicitud,cedula_ciudadania,nombre,apellido,edad,ingresos_anuales,puntaje_crediticio,historial_pagos,deuda_actual,antiguedad_laboral,estado_civil,numero_dependientes,tipo_empleo,solicitud_credito,inicio_mes,inicio_semana
RA-2022010107,2022-01-01,144621892,Lorena,Cortés,53,20333.1,345,Regular,40747.11,37,Casado,0,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010106,2022-01-01,413756040,Luz,Jiménez,75,242878.19,632,Bueno,360.89,7,Soltero,2,Desempleado,0.0,2022-01-01,2021-12-27
RA-2022010105,2022-01-01,181401495,Víctor,Ramírez,28,205985.44,537,Bueno,813.7,28,Casado,5,Temporal,0.0,2022-01-01,2021-12-27
RA-2022010104,2022-01-01,908932508,Rosa,Blanco,68,127021.19,433,Malo,30411.61,4,Casado,0,Autonomo,0.0,2022-01-01,2021-12-27
RA-2022010103,2022-01-01,139023550,Martha,Montes,46,161028.6,590,Regular,40849.02,32,Soltero,0,Desempleado,0.0,2022-01-01,2021-12-27
RA-2022010102,2022-01-01,203766933,Martha,León,74,186140.53,574,Regular,29873.24,21,Divorciado,0,Temporal,0.0,2022-01-01,2021-12-27
RA-2022010109,2022-01-01,947109223,John,Rodríguez,27,178401.0,829,Bueno,9250.57,28,Soltero,0,Autonomo,1.0,2022-01-01,2021-12-27
RA-2022010211,2022-01-02,286211304,Edith,Uribe,54,186349.17,663,Regular,6079.86,33,Casado,5,Autonomo,1.0,2022-01-01,2021-12-27
RA-2022010217,2022-01-02,912841994,Alberto,Caballero,44,240070.87,424,Bueno,23138.03,28,Viudo,5,Desempleado,0.0,2022-01-01,2021-12-27
RA-2022010216,2022-01-02,552641052,Tania,Arteaga,34,28049.99,496,Regular,42.43,26,Divorciado,5,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010215,2022-01-02,729261613,Jackeline,Fernández,36,88929.64,315,Regular,27638.96,9,Soltero,2,Temporal,0.0,2022-01-01,2021-12-27
RA-2022010214,2022-01-02,108890152,Manuela,Cardona,75,22899.82,729,Malo,9388.69,20,Divorciado,0,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010213,2022-01-02,162463133,Jhon,Cruz,21,249072.52,668,Regular,14123.33,25,Casado,2,Autonomo,1.0,2022-01-01,2021-12-27
RA-2022010212,2022-01-02,723171704,Víctor,Álvarez,53,76931.88,562,Bueno,33975.87,1,Soltero,1,Temporal,0.0,2022-01-01,2021-12-27
RA-2022010210,2022-01-02,344200194,Ricardo,Galeano,80,33669.02,585,Bueno,11979.95,21,Soltero,1,Autonomo,0.0,2022-01-01,2021-12-27
RA-2022010204,2022-01-02,889862087,León,Betancur,19,117327.3,412,Bueno,14697.84,6,Soltero,3,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010208,2022-01-02,595717613,Rosa,Mendoza,28,178800.29,814,Regular,25658.33,27,Viudo,4,Fijo,1.0,2022-01-01,2021-12-27
RA-2022010207,2022-01-02,702813440,Angélica,González,80,249262.88,781,Bueno,25041.03,20,Divorciado,0,Autonomo,1.0,2022-01-01,2021-12-27
RA-2022010206,2022-01-02,368854654,Julia,Mercado,23,119974.09,602,Bueno,49589.83,40,Divorciado,5,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010205,2022-01-02,793327686,César,Alarcón,79,238593.56,440,Bueno,58.17,36,Divorciado,3,Desempleado,0.0,2022-01-01,2021-12-27
RA-2022010203,2022-01-02,987450726,Carmen,Barrios,65,80254.64,535,Regular,40108.39,6,Divorciado,3,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010202,2022-01-02,147580911,Emma,Bustamante,65,190652.85,451,Malo,19030.39,17,Soltero,0,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010201,2022-01-02,714537172,Mireya,Polo,62,235321.41,501,Bueno,13937.42,1,Viudo,0,Autonomo,0.0,2022-01-01,2021-12-27
RA-2022010209,2022-01-02,746708348,Harold,Vásquez,44,141577.89,782,Malo,4609.57,38,Casado,0,Fijo,0.0,2022-01-01,2021-12-27
RA-2022010311,2022-01-03,105319161,Ernesto,Arévalo,49,26398.26,722,Regular,983.43,28,Casado,5,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010317,2022-01-03,686625727,Germán,Gómez,70,72042.58,771,Bueno,11004.31,30,Viudo,0,Desempleado,1.0,2022-01-01,2022-01-03
RA-2022010316,2022-01-03,158397223,Ingrid,Arrieta,44,155236.86,433,Malo,27532.61,1,Divorciado,1,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010315,2022-01-03,437618411,Luis,Montoya,54,156333.3,832,Regular,3174.94,30,Viudo,5,Desempleado,1.0,2022-01-01,2022-01-03
RA-2022010314,2022-01-03,998907556,Lilian,Fernández,72,202739.71,591,Malo,37455.87,4,Divorciado,5,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010313,2022-01-03,668699210,Sandra,Sánchez,18,166807.33,629,Bueno,46072.34,2,Divorciado,3,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010312,2022-01-03,794467258,Laura,Jiménez,44,186396.13,601,Malo,4298.4,8,Divorciado,0,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010310,2022-01-03,663249526,Maritza,Murcia,35,199960.01,480,Regular,11211.95,27,Casado,3,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010306,2022-01-03,789148911,Eduardo,Espinosa,38,91570.24,786,Bueno,28297.76,13,Viudo,0,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010308,2022-01-03,637929920,Marina,Caballero,65,246930.9,828,Bueno,15241.81,7,Divorciado,4,Autonomo,1.0,2022-01-01,2022-01-03
RA-2022010307,2022-01-03,529346462,María,Castrillón,26,128821.17,618,Regular,36677.23,19,Viudo,1,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010309,2022-01-03,737921927,Diana,Castro,74,17260.64,416,Malo,7914.81,24,Casado,2,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010305,2022-01-03,573164392,Michael,Ochoa,55,177269.32,487,Regular,612.81,3,Viudo,3,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010304,2022-01-03,042188165,Myriam,Álvarez,50,101927.4,669,Bueno,11651.08,24,Casado,0,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010303,2022-01-03,951640560,Luz,Torres,41,224984.14,694,Bueno,14936.55,31,Viudo,4,Temporal,1.0,2022-01-01,2022-01-03
RA-2022010302,2022-01-03,683149142,Myriam,Espitia,44,34956.4,816,Regular,7641.19,36,Divorciado,2,Desempleado,1.0,2022-01-01,2022-01-03
RA-2022010301,2022-01-03,551085229,Alba,Barreto,63,99967.29,721,Malo,23979.82,17,Casado,0,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010410,2022-01-04,612992364,Janeth,Rojas,46,106085.66,604,Regular,28302.24,32,Casado,2,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010409,2022-01-04,645088124,Andrés,Navarro,34,141628.39,708,Malo,43629.07,10,Viudo,0,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010408,2022-01-04,706538226,Julián,Pacheco,78,188365.8,532,Bueno,8279.9,2,Divorciado,1,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010407,2022-01-04,090876558,Alberto,Velásquez,71,22818.25,413,Malo,13902.39,5,Soltero,4,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010406,2022-01-04,763662134,Carolina,Cabrera,74,86257.05,569,Regular,7866.33,17,Divorciado,0,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010404,2022-01-04,974356137,Ignacio,Contreras,59,75511.3,382,Malo,2963.3,28,Divorciado,0,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010403,2022-01-04,334078559,Luis,Perdomo,19,67658.04,655,Malo,30759.21,7,Viudo,3,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010402,2022-01-04,777770137,Johan,Blanco,70,20648.62,427,Regular,35180.55,2,Soltero,4,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010401,2022-01-04,257807643,Andrés,Muñoz,62,232317.56,807,Regular,40595.79,26,Divorciado,0,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010405,2022-01-04,881177622,Ángel,Guerra,45,162502.67,424,Bueno,10480.5,8,Soltero,0,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010508,2022-01-05,864359962,Alfredo,Jiménez,29,75484.98,590,Regular,957.37,16,Viudo,3,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010511,2022-01-05,143857676,Maicol,Osorio,31,224023.09,419,Regular,44771.34,11,Divorciado,5,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010510,2022-01-05,952797216,Deicy,Medina,47,18184.59,344,Regular,48554.56,34,Viudo,4,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010509,2022-01-05,257077344,Inés,Salazar,41,244424.2,617,Bueno,25702.63,26,Soltero,5,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010507,2022-01-05,363821821,Patricia,Martínez,39,87692.37,814,Regular,47705.91,14,Divorciado,1,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010501,2022-01-05,733041703,Wendy,Calderón,27,127507.45,617,Regular,10665.09,22,Divorciado,5,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010505,2022-01-05,215836278,Lucy,López,76,78865.71,398,Malo,7082.4,28,Viudo,2,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010504,2022-01-05,236870821,Marisol,Pabón,34,199105.58,464,Malo,34521.09,3,Casado,5,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010503,2022-01-05,283113206,Marcela,Arévalo,58,213082.42,782,Bueno,11805.49,13,Soltero,4,Temporal,1.0,2022-01-01,2022-01-03
RA-2022010502,2022-01-05,408307788,Andrés,Trujillo,62,149164.12,756,Bueno,19732.98,26,Soltero,3,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010506,2022-01-05,600979330,Wilmar,Gómez,70,116847.43,422,Malo,13899.38,6,Viudo,3,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010611,2022-01-06,253242247,Diego,García,34,118569.16,661,Bueno,17903.75,28,Viudo,0,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010618,2022-01-06,868567809,Julio,Corredor,56,81275.04,752,Malo,3669.79,12,Viudo,0,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010617,2022-01-06,037295865,Junior,Vanegas,62,48362.74,474,Regular,47827.17,37,Soltero,0,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010616,2022-01-06,875353559,Manuel,Padilla,62,151526.09,568,Regular,41913.04,40,Viudo,5,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010615,2022-01-06,217225359,Luis,Ortiz,69,225367.31,564,Bueno,34901.91,23,Soltero,5,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010614,2022-01-06,279969634,Carlos,Palacios,18,81282.68,828,Malo,249.86,2,Soltero,5,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010613,2022-01-06,263627860,Enrique,Rueda,46,110477.71,436,Malo,36236.48,11,Soltero,1,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010612,2022-01-06,241498332,Isabel,Murillo,18,55043.08,824,Bueno,27415.48,30,Viudo,0,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010610,2022-01-06,570832029,Kevin,Flórez,52,140840.02,446,Regular,6890.01,24,Casado,4,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010607,2022-01-06,715874889,Mercedes,Ríos,49,139179.41,686,Malo,36770.02,19,Divorciado,1,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010608,2022-01-06,061850952,Wilder,Arteaga,53,64598.27,412,Regular,48134.67,4,Divorciado,2,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010609,2022-01-06,391561974,David,Pineda,75,186972.25,783,Bueno,48895.76,26,Viudo,1,Temporal,1.0,2022-01-01,2022-01-03
RA-2022010606,2022-01-06,392595763,María,Vergara,48,123561.07,390,Regular,15474.94,40,Soltero,3,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010605,2022-01-06,954517214,Jairo,Sandoval,34,74201.04,503,Regular,40083.22,38,Divorciado,4,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010604,2022-01-06,200423564,Esmeralda,Bejarano,62,214574.88,481,Regular,28025.97,7,Soltero,1,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010603,2022-01-06,494923103,Patricia,Rodríguez,47,111900.8,301,Malo,33775.86,3,Divorciado,5,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010602,2022-01-06,302509010,Hernán,Caicedo,53,83828.85,757,Bueno,38827.25,33,Soltero,5,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010601,2022-01-06,773271730,Pablo,Espinosa,46,23791.37,561,Malo,46903.45,21,Casado,1,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010713,2022-01-07,030053409,Alexander,Rentería,75,40090.3,788,Regular,42438.38,24,Viudo,5,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010714,2022-01-07,401431312,Juan,Cruz,57,206390.51,613,Regular,30322.79,22,Viudo,4,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010715,2022-01-07,771771232,Jhon,Ardila,50,97932.43,615,Regular,29620.63,16,Casado,2,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010716,2022-01-07,286770868,John,Barreto,50,175097.03,754,Bueno,10659.26,27,Casado,3,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010720,2022-01-07,835759851,Alexander,Díaz,76,148043.87,700,Malo,17771.69,19,Casado,2,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010718,2022-01-07,927248113,Lidia,García,47,145865.12,733,Regular,39450.92,0,Divorciado,4,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010719,2022-01-07,501334868,Robinson,Cárdenas,79,42612.89,534,Bueno,22323.81,17,Divorciado,4,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010712,2022-01-07,435582478,María,Ramírez,27,171883.08,411,Malo,39540.19,30,Divorciado,3,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010717,2022-01-07,397064285,Luisa,López,56,102623.42,683,Bueno,8433.81,13,Divorciado,3,Temporal,1.0,2022-01-01,2022-01-03
RA-2022010711,2022-01-07,536342896,Betty,Hernández,23,41344.76,465,Regular,12533.37,5,Viudo,4,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010709,2022-01-07,717754648,Carlos,Rodríguez,21,33593.17,681,Regular,1562.3,24,Casado,3,Autonomo,1.0,2022-01-01,2022-01-03
RA-2022010708,2022-01-07,910897586,María,Bolaños,73,92879.38,479,Malo,5484.2,20,Viudo,3,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010707,2022-01-07,392822372,Gabriela,Ortiz,67,125570.47,393,Bueno,30333.12,5,Viudo,3,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010706,2022-01-07,895987979,Leonel,Londoño,47,24287.84,633,Bueno,22304.24,24,Divorciado,3,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010705,2022-01-07,758497486,Fernanda,Garzón,47,60217.79,669,Regular,2745.8,30,Soltero,2,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010704,2022-01-07,084487999,Rita,Correa,48,34541.55,570,Malo,23573.68,2,Casado,5,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010703,2022-01-07,083266881,Amparo,Arévalo,38,114182.18,329,Regular,10324.68,8,Divorciado,1,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010702,2022-01-07,258648981,Inés,Torres,44,89320.12,819,Malo,43591.5,1,Casado,1,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010701,2022-01-07,740371118,María,Anaya,35,114874.75,420,Malo,36946.7,33,Soltero,4,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010710,2022-01-07,568011575,Mario,Miranda,45,247119.0,418,Regular,23240.67,6,Casado,5,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010808,2022-01-08,536204647,Andrés,Alzate,68,197332.41,769,Malo,14874.44,6,Casado,3,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010812,2022-01-08,430974878,Manuel,Serna,68,128041.39,764,Regular,24531.48,37,Viudo,5,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010811,2022-01-08,486975643,Esperanza,Salazar,50,175684.23,497,Malo,31350.95,33,Casado,2,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010813,2022-01-08,630100168,Yazmín,Navarro,27,203929.0,426,Regular,10359.98,1,Viudo,4,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010809,2022-01-08,355220820,Luis,Duque,56,75329.86,343,Malo,41751.64,21,Viudo,5,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010807,2022-01-08,288367315,Michael,Hurtado,21,214823.19,610,Regular,40816.99,4,Casado,1,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010810,2022-01-08,854769398,Andrés,Martínez,26,163509.09,467,Malo,1770.96,16,Divorciado,2,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010805,2022-01-08,605284894,Hernando,Ramírez,43,118210.22,780,Regular,39598.84,31,Soltero,0,Temporal,1.0,2022-01-01,2022-01-03
RA-2022010804,2022-01-08,740698205,Pedro,Padilla,27,235919.57,522,Bueno,41891.93,17,Soltero,2,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010803,2022-01-08,983695263,Marcela,Vergara,37,40579.63,815,Regular,830.0,35,Divorciado,0,Autonomo,1.0,2022-01-01,2022-01-03
RA-2022010802,2022-01-08,419193428,Jorge,Torres,52,87444.75,427,Malo,17474.38,12,Viudo,1,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010801,2022-01-08,781430865,Jesús,Medina,27,156390.66,650,Regular,29753.92,32,Divorciado,4,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010806,2022-01-08,724925532,Milena,Montoya,51,211972.56,324,Malo,7365.83,1,Casado,1,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010913,2022-01-09,387075984,Hernando,Herrera,19,43585.33,422,Regular,44521.01,12,Soltero,3,Fijo,0.0,2022-01-01,2022-01-03
RA-2022010912,2022-01-09,214070114,Efrain,Ortega,46,179638.32,826,Regular,6577.91,3,Divorciado,0,Autonomo,1.0,2022-01-01,2022-01-03
RA-2022010911,2022-01-09,360244197,Juan,García,25,208402.53,676,Bueno,25984.95,3,Divorciado,5,Autonomo,1.0,2022-01-01,2022-01-03
RA-2022010910,2022-01-09,682607567,Victoria,Ortega,34,68744.38,524,Regular,34958.19,35,Divorciado,2,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010909,2022-01-09,983747886,Andrés,Castro,42,241168.68,307,Bueno,33555.05,28,Soltero,5,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010908,2022-01-09,967965130,Elizabeth,Jaramillo,66,24369.33,440,Malo,45724.0,21,Divorciado,4,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022010906,2022-01-09,774968535,José,Prada,63,210790.68,489,Bueno,6160.86,6,Divorciado,4,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010905,2022-01-09,288032495,Jefferson,Mejía,22,207361.25,821,Bueno,1224.77,35,Soltero,2,Temporal,1.0,2022-01-01,2022-01-03
RA-2022010904,2022-01-09,856295818,Juan,Caicedo,64,221352.15,685,Bueno,8442.19,40,Casado,5,Fijo,1.0,2022-01-01,2022-01-03
RA-2022010903,2022-01-09,773686824,Salvador,Vega,61,170406.43,323,Regular,39376.6,34,Casado,4,Temporal,0.0,2022-01-01,2022-01-03
RA-2022010902,2022-01-09,960907116,Enith,Mercado,43,243099.55,671,Regular,48215.92,40,Divorciado,5,Desempleado,1.0,2022-01-01,2022-01-03
RA-2022010901,2022-01-09,764618363,Elsy,Serrano,75,216337.77,466,Bueno,398.52,40,Soltero,4,Autonomo,0.0,2022-01-01,2022-01-03
RA-2022010907,2022-01-09,829023909,Andrea,Meneses,59,38857.88,413,Malo,13938.77,21,Casado,2,Desempleado,0.0,2022-01-01,2022-01-03
RA-2022011008,2022-01-10,422010027,Jesús,Cuesta,51,83743.18,683,Bueno,38975.95,23,Soltero,5,Temporal,0.0,2022-01-01,2022-01-10
RA-2022011010,2022-01-10,999861193,Cecilia,Cardona,45,113563.78,570,Malo,41809.31,24,Divorciado,0,Desempleado,0.0,2022-01-01,2022-01-10
RA-2022011011,2022-01-10,781827342,Fernando,Melo,20,100886.32,332,Malo,20005.32,17,Divorciado,5,Temporal,0.0,2022-01-01,2022-01-10
RA-2022011009,2022-01-10,415172178,Nelson,Rivas,78,104235.25,453,Bueno,13142.04,35,Divorciado,0,Fijo,0.0,2022-01-01,2022-01-10
RA-2022011007,2022-01-10,290827816,Armando,Calderón,59,74685.17,570,Malo,24017.05,27,Soltero,0,Fijo,0.0,2022-01-01,2022-01-10
RA-2022011002,2022-01-10,468780797,Abraham,González,39,125875.33,755,Bueno,18700.04,19,Viudo,1,Desempleado,1.0,2022-01-01,2022-01-10
RA-2022011005,2022-01-10,507008144,Alejandro,Ramírez,49,103301.94,742,Regular,22547.42,1,Casado,5,Fijo,1.0,2022-01-01,2022-01-10
RA-2022011004,2022-01-10,605931484,Jesús,Osorio,73,87212.96,384,Regular,5885.14,33,Divorciado,4,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011003,2022-01-10,398056305,Jhon,Castro,30,53107.92,638,Regular,3575.36,9,Divorciado,0,Desempleado,0.0,2022-01-01,2022-01-10
RA-2022011001,2022-01-10,257621981,Luis,García,18,122763.15,546,Regular,27497.39,12,Divorciado,3,Fijo,0.0,2022-01-01,2022-01-10
RA-2022011006,2022-01-10,920461260,José,López,22,112124.28,486,Malo,10791.45,19,Divorciado,0,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011113,2022-01-11,190141637,Ángela,Sierra,71,201862.96,460,Regular,1445.93,33,Divorciado,3,Fijo,0.0,2022-01-01,2022-01-10
RA-2022011122,2022-01-11,614917475,Vanesa,Vargas,54,181906.64,663,Malo,28688.58,19,Viudo,4,Temporal,0.0,2022-01-01,2022-01-10
RA-2022011121,2022-01-11,008503323,Armando,Velasco,73,154988.73,590,Malo,8518.78,13,Divorciado,4,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011120,2022-01-11,975235389,Olga,Murillo,80,234381.34,673,Malo,40183.31,22,Casado,1,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011119,2022-01-11,749194074,Deicy,García,48,195344.59,486,Bueno,8101.91,30,Viudo,0,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011118,2022-01-11,574974169,Ernesto,Díaz,37,174963.61,334,Malo,49805.08,25,Casado,5,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011117,2022-01-11,023757620,Cecilia,Montoya,42,190281.84,794,Regular,39135.79,11,Divorciado,4,Temporal,1.0,2022-01-01,2022-01-10
RA-2022011116,2022-01-11,397219073,Luz,Bolaños,43,78886.21,749,Malo,37210.34,20,Casado,4,Desempleado,0.0,2022-01-01,2022-01-10
RA-2022011115,2022-01-11,306607743,Juliana,Salazar,59,163688.05,459,Regular,39900.99,8,Casado,3,Desempleado,0.0,2022-01-01,2022-01-10
RA-2022011114,2022-01-11,368569991,Luz,Pérez,79,218027.45,473,Regular,27059.12,26,Viudo,2,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011112,2022-01-11,084910061,Pedro,Muñoz,62,216201.36,666,Malo,18583.04,34,Divorciado,5,Desempleado,0.0,2022-01-01,2022-01-10
RA-2022011111,2022-01-11,135799523,Viviana,Pacheco,22,218700.64,621,Bueno,31804.21,11,Casado,0,Fijo,0.0,2022-01-01,2022-01-10
RA-2022011110,2022-01-11,301031252,María,Córdoba,30,196571.55,829,Bueno,4292.07,25,Soltero,5,Temporal,1.0,2022-01-01,2022-01-10
RA-2022011101,2022-01-11,638497605,Álvaro,Jiménez,39,237863.18,674,Regular,49719.75,1,Soltero,5,Fijo,1.0,2022-01-01,2022-01-10
RA-2022011103,2022-01-11,539866387,Lina,Hernández,64,227102.46,818,Bueno,37247.7,16,Viudo,3,Desempleado,1.0,2022-01-01,2022-01-10
RA-2022011104,2022-01-11,410499835,Alejandra,Moreno,63,57303.13,777,Malo,18480.41,3,Viudo,1,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011105,2022-01-11,866395066,Jorge,Ávila,43,175548.21,477,Regular,33624.27,20,Divorciado,5,Autonomo,0.0,2022-01-01,2022-01-10
RA-2022011102,2022-01-11,834212299,Nayibe,Martínez,42,133692.92,670,Regular,26059.56,38,Viudo,1,Autonomo,1.0,2022-01-01,2022-01-10
RA-2022011107,2022-01-11,462683964,Alexander,Andrade,50,171105.06,671,Regular,43982.74,11,Soltero,4,Temporal,1.0,2022-01-01,2022-01-10
RA-2022011108,2022-01-11,224005882,Fernando,López,18,68563.62,364,Regular,30669.59,9,Casado,5,Temporal,0.0,2022-01-01,2022-01-10
RA-2022011109,2022-01-11,972750799,Yanet,Valencia,68,134494.8,825,Regular,22119.01,18,Viudo,0,Desempleado,1.0,2022-01-01,2022-01-10
RA-2022011106,2022-01-11,068270802,Magaly,Alfonso,52,34739.44,538,Regular,26169.93,10,Divorciado,4,Desempleado,0.0,2022-01-01,2022-01-10
RA-2022011210,2022-01-12,366887373,Sebastián,Ruiz,75,231394.39,763,Regular,7140.79,19,Viudo,5,Autonomo,1.0,2022-01-01,2022-01-10
RA-2022011216,2022-01-12,346922229,Roberto,López,34,214922.88,758,Regular,4559.87,5,Soltero,1,Fijo,1.0,2022-01-01,2022-01-10
