CLIENTE_ID,NOMBRE,GENERO,EDAD,CIUDAD,FRECUENCIA_COMPRA,PRIMERA_COMPRA,ULTIMA_COMPRA,TIEMPO_CLIENTE_MESES,DIAS_ULTIMA_COMPRA
33,Efrain Moreno Castillo,F,38,Cartagena,13,2023-01-06,2025-06-11,29,4
34,Carlos Manuel Díaz Andrade,M,35,Tunja,13,2023-01-11,2025-06-07,29,8
35,Tomás Andrade Barrera,M,58,Bucaramanga,15,2023-01-10,2025-06-04,29,11
36,Marcela Inés Morales,M,62,Tunja,7,2023-01-22,2025-06-08,29,7
37,José Castro,F,26,Barranquilla,1,2023-01-05,2025-06-10,29,5
38,Nancy Herrera Rincón,F,61,Medellín,11,2023-01-13,2025-06-11,29,4
39,Jessica Patricia Medina,M,68,Bogotá,8,2023-01-04,2025-06-08,29,7
40,Eduardo Albeiro Caballero Gómez,M,52,Barranquilla,1,2023-01-25,2025-06-13,29,2
41,Inés Montenegro,M,76,Cartagena,10,2023-01-07,2025-05-31,29,15
42,Stiven Enrique Benítez,F,56,Medellín,9,2023-01-03,2025-06-06,29,9
43,Guillermo Dany Barrios Pacheco,M,45,Barranquilla,9,2023-01-01,2025-06-09,29,6
44,Rosalba María Vallejo,F,25,Medellín,2,2023-01-19,2025-05-19,29,27
45,María Oviedo Cardona,F,50,Cúcuta,5,2023-01-27,2025-06-04,29,11
46,Augusto Edwin Muñoz,F,52,Cartagena,8,2023-01-01,2025-06-13,29,2
47,Fernando Carlos Hernández,M,39,Ibagué,3,2023-01-16,2025-06-12,29,3
48,Yamile Luz Suárez Duque,M,18,Bucaramanga,5,2023-01-01,2025-06-01,29,14
49,Camila Isabel Miranda,F,64,Cali,3,2023-01-03,2025-06-12,29,3
50,Carlos José Gómez Cano,M,18,Bucaramanga,14,2023-01-11,2025-05-13,29,33
51,Andrés Carlos Guerrero,M,56,Bucaramanga,9,2023-01-16,2025-06-13,29,2
52,Melba Vega Orjuela,M,32,Barranquilla,10,2023-01-01,2025-06-07,29,8
53,Carolina Lilia Morales Carmona,M,77,Cartagena,19,2023-01-13,2025-06-15,29,0
54,Carlos Arley Murillo Bolívar,M,49,Medellín,17,2023-01-16,2025-06-11,29,4
55,Fidel José Ballesteros Martínez,M,69,Tunja,4,2023-01-06,2025-06-12,29,3
56,Yury Guzmán Moreno,M,47,Cali,7,2023-01-05,2025-05-28,29,18
57,Margoth Gil Sepúlveda,M,62,Villavicencio,11,2023-01-05,2025-06-15,29,0
58,Rosa Santos,F,46,Barranquilla,13,2023-01-12,2025-05-28,29,18
59,Carolina Yazmín Becerra,M,49,Cali,19,2023-01-12,2025-06-15,29,0
60,Inés Navarro Galindo,F,39,Ibagué,2,2023-01-04,2025-05-24,29,22
61,Gustavo Gómez,M,59,Cúcuta,6,2023-01-02,2025-06-14,29,1
62,Jorge Óscar Reyes Pérez,F,45,Cartagena,12,2023-01-04,2025-05-28,29,18
63,Daniel Carlos Acevedo,F,61,Villavicencio,11,2023-01-06,2025-06-12,29,3
64,Mercedes Bautista,M,75,Barranquilla,7,2023-01-01,2025-06-13,29,2
65,Valentina Carolina Arrieta,M,79,Bucaramanga,1,2023-02-09,2025-06-08,28,7
66,Beatriz Marina Rodríguez Parada,M,74,Bogotá,13,2023-01-03,2025-05-27,29,19
67,David Gabriel Gómez Gutiérrez,M,58,Barranquilla,7,2023-01-03,2025-06-05,29,10
68,Maicol Ávila,F,23,Bogotá,9,2023-01-21,2025-06-12,29,3
69,Alfonso Ortiz,M,79,Bucaramanga,1,2023-01-06,2025-06-06,29,9
70,Edith Patricia Jiménez,F,68,Cúcuta,12,2023-01-06,2025-06-02,29,13
71,Hugo Hernández Rodríguez,M,41,Cartagena,9,2023-01-02,2025-06-12,29,3
72,Sofía Guzmán,M,69,Medellín,17,2023-01-11,2025-06-14,29,1
73,William García Alfonso,F,75,Barranquilla,12,2023-01-06,2025-05-17,29,29
74,Marlon Vargas,M,79,Tunja,2,2023-01-10,2025-05-31,29,15
75,Margarita Muñoz Rosero,M,20,Bucaramanga,5,2023-01-04,2025-06-13,29,2
76,Paola Ariza Mosquera,F,66,Barranquilla,17,2023-01-25,2025-06-11,29,4
77,Víctor Wilson Ramírez,M,76,Ibagué,2,2023-02-01,2025-06-11,28,4
78,Sandra Guerrero,F,19,Cúcuta,5,2023-01-02,2025-05-21,29,25
79,Alexander Ortega Cardozo,M,49,Ibagué,1,2023-01-11,2025-05-21,29,25
80,Carlos Alirio Quintero,F,36,Cali,2,2023-01-08,2025-06-15,29,0
81,Lucía Medina,F,70,Cartagena,6,2023-01-17,2025-06-13,29,2
82,Doris Andrea Muñoz Vargas,M,49,Cali,4,2023-01-03,2025-06-09,29,6
83,Rosa Martha Delgado,M,72,Barranquilla,17,2023-01-01,2025-06-11,29,4
84,Patricia Eliana Pérez Jiménez,F,55,Villavicencio,5,2023-01-03,2025-06-11,29,4
85,Derly Luz Mendoza Quintero,F,69,Villavicencio,6,2023-01-15,2025-06-13,29,2
86,Jhon Brayan Sandoval Galindo,M,39,Cartagena,16,2023-01-13,2025-06-09,29,6
87,Ramón Fernando Henao,M,33,Tunja,9,2023-01-17,2025-05-19,29,27
88,Andrea Blanca Martínez,M,77,Cúcuta,6,2023-01-05,2025-06-15,29,0
89,Juan Juan Puentes,M,33,Tunja,3,2023-01-02,2025-05-31,29,15
90,Juan Velásquez,F,37,Cúcuta,4,2023-01-05,2025-06-11,29,4
91,Alejandra Amaya Rojas,F,36,Bucaramanga,3,2023-01-05,2025-06-14,29,1
92,Edith Tatiana Solano,F,36,Barranquilla,7,2023-01-05,2025-06-03,29,12
93,Paola Valentina Contreras Sanabria,M,69,Cali,1,2023-01-02,2025-06-13,29,2
94,Jaime López Amaya,F,57,Villavicencio,7,2023-01-30,2025-06-13,29,2
95,Norma Rodríguez Cuesta,F,35,Ibagué,1,2023-01-07,2025-06-14,29,1
96,Alexandra Daniela Ortiz,F,28,Medellín,18,2023-01-08,2025-06-12,29,3
97,Alba Omaira Marín Moreno,M,40,Bogotá,10,2023-01-12,2025-06-10,29,5
98,Marcela Tatiana Vanegas Morales,M,52,Medellín,16,2023-01-17,2025-06-07,29,8
99,Elena Pérez,F,43,Cali,17,2023-01-24,2025-06-02,29,13
100,Norma Lorena Suárez,M,19,Cali,16,2023-01-04,2025-05-25,29,21
101,Yesenia Suárez Castellanos,F,79,Cúcuta,5,2023-01-01,2025-06-14,29,1
102,Juan Edgar Bonilla,F,54,Tunja,9,2023-01-09,2025-06-12,29,3
103,Diana Elena Rangel Cardona,M,58,Medellín,19,2023-01-23,2025-06-13,29,2
104,Stella Angie Ávila Agudelo,F,65,Cúcuta,3,2023-01-07,2025-06-03,29,12
105,William Alejandro Vergara,F,37,Cúcuta,1,2023-01-08,2025-06-02,29,13
106,Eugenia Patricia Ángel Rendón,F,41,Tunja,11,2023-01-14,2025-06-11,29,4
107,Arley Kevin Hernández Barrios,F,66,Ibagué,4,2023-01-06,2025-06-14,29,1
108,Cristian Fonseca,F,55,Villavicencio,3,2023-01-11,2025-06-14,29,1
109,Luz Díaz,F,65,Cartagena,3,2023-01-03,2025-06-02,29,13
110,Luis Andrés Reyes Agudelo,M,42,Villavicencio,18,2023-01-02,2025-06-07,29,8
111,Juan Hurtado,F,63,Bogotá,2,2023-01-08,2025-06-12,29,3
112,Óscar León Cuéllar,M,71,Medellín,16,2023-01-02,2025-06-14,29,1
113,Cecilia Patricia Cano,M,78,Villavicencio,4,2023-01-02,2025-06-12,29,3
114,Inés Sierra Martínez,F,50,Cartagena,1,2023-01-02,2025-05-22,29,24
115,Katherine Álvarez,M,31,Bucaramanga,16,2023-01-03,2025-06-07,29,8
116,Jorge Edgar Torres,F,37,Medellín,8,2023-01-01,2025-05-31,29,15
117,Milena Patricia Guevara León,M,24,Cartagena,17,2023-01-04,2025-06-08,29,7
118,Linda Trujillo Jiménez,F,50,Cúcuta,12,2023-01-04,2025-06-15,29,0
119,Esneider Garcés Hernández,M,76,Cali,14,2023-02-10,2025-06-13,28,2
120,Álvaro Diego Ruiz,F,47,Ibagué,6,2023-01-16,2025-06-02,29,13
121,Sergio Martínez Ortiz,M,62,Bogotá,8,2023-01-04,2025-06-07,29,8
122,Rubiela Marina Bernal Rojas,M,44,Cartagena,2,2023-01-06,2025-06-04,29,11
123,Cecilia Córdoba,F,38,Villavicencio,1,2023-01-01,2025-06-04,29,11
124,Ana León Osorio,M,45,Cali,1,2023-01-17,2025-05-09,29,37
125,Juan Alberto Henao,F,22,Villavicencio,16,2023-01-16,2025-06-15,29,0
126,Edilma Garzón,F,36,Medellín,3,2023-01-10,2025-06-10,29,5
127,Carlos José Montoya,F,66,Cartagena,17,2023-01-07,2025-06-03,29,12
128,Sonia Teresa Vargas,F,61,Villavicencio,14,2023-01-05,2025-06-15,29,0
129,Jonathan Héctor Mercado,F,70,Tunja,3,2023-01-04,2025-06-14,29,1
130,Hernando José Pérez Castrillón,M,77,Barranquilla,5,2023-01-02,2025-06-12,29,3
131,Vanesa Ana Álvarez Rosero,M,41,Cali,17,2023-01-14,2025-06-04,29,11
132,Ricardo Giraldo Cuéllar,M,63,Bucaramanga,3,2023-01-06,2025-06-09,29,6
133,Adalberto Cristian Cardona,M,77,Cali,1,2023-01-05,2025-05-14,29,32
134,Blanca González,F,20,Villavicencio,18,2023-01-01,2025-06-14,29,1
135,María Barrios Suárez,F,42,Villavicencio,3,2023-01-16,2025-06-09,29,6
136,Jaider Aguilar,F,57,Bogotá,18,2023-01-19,2025-06-07,29,8
137,María Uribe,M,49,Tunja,2,2023-01-04,2025-05-09,29,37
138,Esteban Santiago Jiménez Amaya,F,44,Bucaramanga,2,2023-01-31,2025-06-15,29,0
139,Felix Torres,M,43,Ibagué,8,2023-01-08,2025-06-12,29,3
140,Jhon William García Rivera,M,50,Bogotá,11,2023-01-02,2025-05-30,29,16
141,Carmen Judith Díaz Palacios,F,71,Medellín,7,2023-01-05,2025-06-14,29,1
142,Hernando Caicedo,F,46,Bucaramanga,3,2023-01-21,2025-06-03,29,12
143,Esther Martha Bejarano,M,67,Cartagena,13,2023-01-07,2025-05-23,29,23
144,Sebastián Andrés Cortés Muñoz,F,77,Barranquilla,7,2023-01-20,2025-06-12,29,3
145,Aldair Cristian Torres Cardozo,F,74,Bogotá,13,2023-01-20,2025-06-12,29,3
146,Rosa Victoria Suárez Gómez,M,37,Barranquilla,8,2023-01-08,2025-05-22,29,24
147,María Méndez,F,63,Tunja,14,2023-01-06,2025-05-26,29,20
148,Jorge Rodríguez Sánchez,M,29,Medellín,15,2023-01-14,2025-06-05,29,10
149,Lucía Rojas,F,45,Medellín,2,2023-01-03,2025-05-18,29,28
150,Sonia Diana Flórez,M,49,Ibagué,19,2023-01-21,2025-06-14,29,1
151,Leidy Díaz,F,42,Medellín,17,2023-01-29,2025-06-15,29,0
152,Michael Hernán Montoya Sánchez,F,69,Villavicencio,6,2023-01-03,2025-06-14,29,1
153,Javier Luis Hernández Figueroa,F,32,Cali,11,2023-01-01,2025-06-08,29,7
154,Libia Socorro Calderón López,M,77,Cali,1,2023-02-23,2025-05-26,28,20
155,Carolina Mary Bonilla Flórez,M,25,Ibagué,12,2023-01-07,2025-06-04,29,11
156,Sandra Palacio Díaz,M,61,Villavicencio,7,2023-01-12,2025-06-12,29,3
157,Isidro Gil,F,21,Cali,13,2023-01-02,2025-06-15,29,0
158,Kevin Ángel López,F,49,Cartagena,15,2023-01-03,2025-06-04,29,11
159,María Meza Rodríguez,M,52,Villavicencio,8,2023-01-30,2025-05-31,29,15
160,José Castrillón Gaviria,F,69,Tunja,13,2023-01-10,2025-06-10,29,5
161,Gustavo Juan Hernández,F,67,Cúcuta,10,2023-01-05,2025-06-08,29,7
162,Jairo Villamizar Contreras,M,47,Barranquilla,17,2023-01-03,2025-06-12,29,3
163,Lina Torres Mora,M,73,Villavicencio,19,2023-01-22,2025-05-31,29,15
164,María Esther Vásquez,F,45,Barranquilla,5,2023-01-29,2025-06-14,29,1
165,Alberto Campo Guzmán Caicedo,M,43,Cartagena,9,2023-01-05,2025-06-10,29,5
166,Luz Rojas,M,29,Cúcuta,1,2023-01-04,2025-06-12,29,3
167,Nelson Fabián Rojas Ocampo,F,75,Bucaramanga,1,2023-01-08,2025-06-14,29,1
168,Diego Alex Trujillo Hernández,F,64,Ibagué,16,2023-01-20,2025-06-14,29,1
169,Miriam Milena Rodríguez,F,42,Villavicencio,13,2023-01-02,2025-06-10,29,5
170,Samuel Diego Prada Torres,M,70,Ibagué,16,2023-01-07,2025-05-23,29,23
171,Dario Henry Ospina,M,78,Medellín,5,2023-01-10,2025-06-08,29,7
172,Juan Hoyos Acosta,M,39,Barranquilla,3,2023-01-16,2025-06-03,29,12
173,Edison Osorio León,F,29,Barranquilla,16,2023-01-14,2025-06-11,29,4
174,Yamile Caicedo,M,68,Medellín,14,2023-01-18,2025-06-12,29,3
175,Sara Ortega Suárez,M,45,Bucaramanga,15,2023-01-08,2025-05-29,29,17
176,Juan Alexander Valencia,F,66,Bogotá,14,2023-01-08,2025-05-22,29,24
177,Roger Carlos García Serna,F,79,Tunja,5,2023-01-05,2025-06-01,29,14
178,Mauricio Hernández Pérez,F,29,Villavicencio,16,2023-01-14,2025-06-13,29,2
179,Felipe Gustavo Perea Barbosa,M,38,Barranquilla,4,2023-01-02,2025-05-25,29,21
180,Luisa Velásquez,F,50,Tunja,5,2023-01-02,2025-06-12,29,3
181,Paola Benavides,F,40,Barranquilla,10,2023-01-04,2025-06-04,29,11
182,Yamid Guerra,M,71,Bogotá,4,2023-01-03,2025-06-15,29,0
183,Gladys Ramírez Ospina,F,51,Medellín,10,2023-02-10,2025-05-14,28,32
184,César Juan Vélez Narváez,M,75,Bogotá,1,2023-01-03,2025-06-14,29,1
185,Yolanda Medina Ramírez,M,73,Barranquilla,13,2023-01-02,2025-05-13,29,33
186,Miguel Esteban Moreno Flórez,F,21,Medellín,16,2023-01-04,2025-05-27,29,19
187,Luis Javier Escobar,F,72,Bogotá,17,2023-01-01,2025-06-03,29,12
188,José Ramírez,F,45,Bucaramanga,12,2023-01-04,2025-06-15,29,0
189,Luis Alexander Vargas,M,67,Medellín,1,2023-01-12,2025-06-08,29,7
190,María López,M,50,Villavicencio,19,2023-01-15,2025-06-13,29,2
191,Yenifer Hernández Cardona,M,60,Barranquilla,12,2023-01-01,2025-06-15,29,0
192,Hernán Gil,M,20,Cartagena,1,2023-01-13,2025-06-14,29,1
193,Yolanda Margarita Soto Fernández,F,57,Ibagué,11,2023-01-01,2025-06-12,29,3
194,José Carlos Arias,M,61,Barranquilla,13,2023-01-02,2025-06-13,29,2
195,Eugenia Hernández Mena,M,29,Villavicencio,14,2023-01-01,2025-06-13,29,2
196,Yasmín Muñoz Rodríguez,M,19,Cali,19,2023-01-06,2025-06-14,29,1
197,Sonia Vanessa Velandia,M,67,Tunja,17,2023-02-03,2025-06-13,28,2
198,Luz Paola Ortiz,F,43,Tunja,10,2023-02-18,2025-06-12,28,3
199,Esteban José Ceballos,F,43,Ibagué,2,2023-01-12,2025-06-15,29,0
200,Beatriz Castro,M,68,Barranquilla,7,2023-01-03,2025-06-12,29,3
201,Laura Alexandra Silva Angarita,F,21,Ibagué,18,2023-01-01,2025-06-02,29,13
202,Graciela Alvarado,M,62,Cúcuta,4,2023-01-05,2025-06-04,29,11
203,Carlos Pacheco,M,42,Barranquilla,4,2023-01-29,2025-06-10,29,5
204,Augusto Peña,M,27,Medellín,9,2023-01-03,2025-06-13,29,2
205,Javier José Arenas,F,41,Medellín,3,2023-01-14,2025-06-05,29,10
206,Angélica Delgado Guerrero,M,66,Cúcuta,16,2023-01-10,2025-06-13,29,2
207,Enrique Betancur Muñoz,F,53,Bucaramanga,17,2023-01-13,2025-06-03,29,12
208,Robinson Leonel Gómez,F,56,Cúcuta,5,2023-01-06,2025-06-08,29,7
209,Diana Nidia Delgado Forero,M,29,Cúcuta,13,2023-01-02,2025-06-15,29,0
210,Valentina Domínguez,M,40,Ibagué,3,2023-01-03,2025-05-25,29,21
211,Ruby Galvis,F,58,Bogotá,17,2023-01-01,2025-06-04,29,11
212,Miryam Pérez,F,66,Medellín,16,2023-01-23,2025-06-14,29,1
213,Jorge Mejía,F,42,Bogotá,13,2023-01-04,2025-06-13,29,2
214,Dario Marín Osorio,M,76,Cúcuta,17,2023-01-03,2025-06-12,29,3
215,Ingrid Mesa Jaimes,F,53,Bucaramanga,9,2023-01-11,2025-05-24,29,22
216,Natalia Pilar Rosero,F,36,Medellín,9,2023-01-02,2025-05-21,29,25
217,Enrique Yepes Rodríguez,F,24,Barranquilla,14,2023-01-02,2025-06-07,29,8
218,John Rodríguez Mosquera,F,48,Barranquilla,19,2023-01-05,2025-06-05,29,10
219,José Barrios López,M,75,Barranquilla,16,2023-01-05,2025-05-30,29,16
220,Luz Pineda Velásquez,M,70,Villavicencio,3,2023-01-08,2025-05-27,29,19
221,Fernanda Portilla,M,29,Ibagué,4,2023-01-05,2025-06-06,29,9
222,Álvaro Andrés Ortiz,M,70,Cali,16,2023-01-04,2025-05-25,29,21
223,Dario Alonso Hernández,M,74,Cúcuta,13,2023-01-18,2025-06-15,29,0
224,Jaime Carlos Gutiérrez Morales,F,70,Cali,7,2023-01-01,2025-06-15,29,0
225,Alfonso Alexander Valencia Torres,M,31,Cartagena,5,2023-01-03,2025-06-03,29,12
226,Jorge García,M,52,Ibagué,11,2023-01-17,2025-06-10,29,5
227,Sandra Patiño,F,28,Barranquilla,15,2023-01-11,2025-06-12,29,3
228,Leidy María Agudelo Herrera,M,29,Medellín,10,2023-01-02,2025-06-08,29,7
229,Ángela Mosquera Quintero,F,75,Ibagué,17,2023-01-02,2025-06-13,29,2
230,Katerine Elvia Montoya Leal,F,78,Villavicencio,7,2023-01-12,2025-05-31,29,15
231,César Jhon Pérez,M,63,Medellín,8,2023-01-09,2025-06-15,29,0
232,Consuelo Julia Cárdenas Gallego,M,59,Bogotá,18,2023-02-26,2025-06-08,28,7
233,Raúl José Acosta Ortiz,F,44,Villavicencio,2,2023-01-04,2025-06-14,29,1
234,Yesid Esteban Prada Martínez,M,22,Bogotá,5,2023-01-04,2025-06-03,29,12
235,Vanessa Cortés Corredor,M,55,Medellín,8,2023-01-06,2025-06-14,29,1
236,Jesús Monroy,M,65,Barranquilla,1,2023-01-09,2025-06-05,29,10
237,Alexander Gómez,F,39,Cali,17,2023-01-03,2025-06-13,29,2
238,Eduardo Alejandro Flórez,M,24,Cúcuta,13,2023-01-04,2025-06-14,29,1
239,Marcela Rosa Jiménez,F,21,Ibagué,6,2023-01-06,2025-06-10,29,5
240,Cristian Jair Páez,M,77,Ibagué,19,2023-01-12,2025-06-13,29,2
241,Edgar Miguel López Arrieta,F,78,Barranquilla,7,2023-02-02,2025-05-25,28,21
242,Fernanda Patricia Pérez Soto,F,44,Cúcuta,19,2023-01-06,2025-06-10,29,5
243,Bertha Gómez Hernández,F,56,Bogotá,3,2023-01-03,2025-06-09,29,6
244,Pedro Samuel Ortiz,M,62,Cali,18,2023-01-07,2025-06-13,29,2
245,Stiven Mora Sánchez,F,45,Cúcuta,8,2023-01-01,2025-05-25,29,21
246,Luis Castro Reyes,M,78,Bogotá,9,2023-01-08,2025-06-12,29,3
247,Gerardo Luis Rivera Acosta,M,56,Cúcuta,3,2023-01-06,2025-06-01,29,14
248,Camilo Luis Herrera González,F,30,Cartagena,17,2023-01-06,2025-06-11,29,4
249,Patricia Luz Córdoba Cortés,F,42,Ibagué,1,2023-01-14,2025-06-06,29,9
250,María Barreto,M,55,Cartagena,6,2023-01-04,2025-05-19,29,27
251,Francisco Miguel Herrera Mosquera,F,75,Cúcuta,13,2023-01-03,2025-06-15,29,0
252,José David Rincón,M,49,Villavicencio,15,2023-01-23,2025-06-14,29,1
253,Sonia Eliana Acosta Gómez,F,38,Ibagué,11,2023-01-01,2025-06-13,29,2
254,Amparo Valencia,M,77,Cali,4,2023-01-17,2025-05-23,29,23
255,Arbey Morales Solano,M,52,Barranquilla,18,2023-01-08,2025-05-29,29,17
256,María Gómez Trujillo,M,64,Cartagena,17,2023-01-08,2025-06-11,29,4
257,Leidy Bonilla,M,31,Barranquilla,1,2023-01-01,2025-05-10,29,36
258,Luisa Ardila,F,70,Bogotá,3,2023-01-03,2025-06-14,29,1
259,Lorena Ramos Sierra,M,33,Tunja,11,2023-01-03,2025-06-12,29,3
260,Carolina María Bermúdez,F,29,Villavicencio,16,2023-01-12,2025-05-12,29,34
261,Consuelo Teresa Rodríguez,F,25,Bogotá,12,2023-01-17,2025-06-06,29,9
262,Rafael Óscar Londoño Mejía,F,41,Bucaramanga,8,2023-01-14,2025-06-03,29,12
263,Augusto Luis Gil Ardila,F,75,Bogotá,4,2023-01-13,2025-05-09,29,37
264,Jesús Carlos Montoya Padilla,F,43,Bogotá,18,2023-01-09,2025-06-08,29,7
265,María Paola Sánchez,F,45,Tunja,5,2023-01-01,2025-06-01,29,14
266,Manuel Álvaro Rivera,F,58,Ibagué,17,2023-01-02,2025-06-15,29,0
267,Sebastián Eduardo Álvarez,M,26,Villavicencio,13,2023-01-25,2025-06-13,29,2
268,Cristian Rodríguez,F,45,Villavicencio,13,2023-01-05,2025-05-29,29,17
269,Paola Isabel González Medina,M,63,Cali,6,2023-01-07,2025-06-12,29,3
270,Eliana María Moreno Vásquez,M,35,Bogotá,5,2023-01-05,2025-06-08,29,7
271,Adrián Henry Salazar,M,64,Villavicencio,2,2023-01-03,2025-06-14,29,1
272,Yohana Liliana Contreras Valencia,F,27,Medellín,18,2023-01-01,2025-06-07,29,8
273,Ernesto Vélez,M,76,Cali,5,2023-01-08,2025-06-09,29,6
274,Julia Arrieta Rodríguez,F,72,Medellín,1,2023-01-01,2025-06-03,29,12
275,Esteban Kevin Ortega Alzate,M,71,Tunja,18,2023-01-05,2025-06-13,29,2
276,María Consuelo Duque,M,49,Medellín,17,2023-01-03,2025-06-11,29,4
277,Isabel María Mora Sarmiento,M,28,Barranquilla,17,2023-01-03,2025-06-09,29,6
278,Diego Javier Herrera,M,30,Cúcuta,2,2023-01-04,2025-06-15,29,0
279,Iván Wilder Martínez,M,58,Medellín,1,2023-01-06,2025-06-12,29,3
280,Marco Restrepo,F,38,Tunja,6,2023-01-10,2025-06-13,29,2
281,Manuela Cristina González,M,45,Barranquilla,5,2023-01-03,2025-06-12,29,3
282,Juan Sánchez Reyes,M,48,Tunja,6,2023-01-08,2025-06-04,29,11
283,Edgardo Meza,M,20,Tunja,5,2023-01-13,2025-05-26,29,20
284,Laura Sonia Calderón Gil,M,70,Bogotá,10,2023-01-02,2025-06-15,29,0
285,Andrés José Arrieta Vega,M,27,Tunja,17,2023-01-02,2025-05-31,29,15
286,Andrea Giraldo Gil,F,38,Medellín,9,2023-01-13,2025-06-15,29,0
287,Julio Gómez,M,63,Cúcuta,19,2023-01-06,2025-05-28,29,18
288,Sandra Núñez,M,62,Tunja,4,2023-01-07,2025-06-02,29,13
289,Graciela Carmen Serrano Martínez,M,79,Tunja,17,2023-01-17,2025-06-15,29,0
290,Gerardo Fernando Sarmiento,F,57,Villavicencio,2,2023-01-27,2025-06-09,29,6
291,Edith Rojas,M,45,Bucaramanga,8,2023-01-01,2025-06-15,29,0
292,Hugo Héctor Ramírez,F,56,Cartagena,2,2023-01-15,2025-06-01,29,14
293,Angie Yazmín Pardo,F,71,Barranquilla,3,2023-01-08,2025-05-30,29,16
294,Cristian Miguel Rodríguez,F,76,Bucaramanga,12,2023-01-01,2025-06-14,29,1
295,Francisco Sierra Cardona,F,18,Barranquilla,12,2023-01-17,2025-05-30,29,16
296,William Alfredo Mantilla,F,22,Cartagena,17,2023-01-10,2025-06-14,29,1
297,Lucía Hernández López,M,65,Cúcuta,15,2023-01-12,2025-06-12,29,3
298,Liliana Martha Díaz,M,40,Cali,5,2023-01-04,2025-06-14,29,1
299,Paola Cano,F,38,Cartagena,2,2023-01-01,2025-06-12,29,3
300,León Fernando Arteaga Cárdenas,M,28,Ibagué,7,2023-01-08,2025-05-31,29,15
301,Rosa Cortés,F,55,Bucaramanga,2,2023-01-10,2025-06-10,29,5
302,Leidy Herrera,F,55,Medellín,2,2023-01-05,2025-06-14,29,1
303,Patricia María Valencia,F,35,Bogotá,15,2023-01-22,2025-06-08,29,7
304,Juan Sánchez Vargas,M,44,Ibagué,2,2023-01-10,2025-06-13,29,2
305,Mario Ricardo Vargas,M,69,Tunja,6,2023-02-08,2025-06-07,28,8
306,Alfonso Rodríguez,F,50,Tunja,15,2023-01-01,2025-06-15,29,0
307,Cristian Flórez Toro,F,77,Medellín,10,2023-01-10,2025-06-14,29,1
