cliente_id,nombre,edad,genero,ciudad,frecuencia_compra,ultima_compra
78,Pilar Rodríguez,61,M,Garagoa,8,2025-05-22
79,Beatriz Vargas Aguilar,78,M,Puerto Parra,18,2024-10-24
80,María Eugenia Trujillo,25,F,Silvania,10,2024-07-29
81,Bertha Duque Ruiz,64,M,Totoró,6,2024-05-24
82,Hugo Zambrano Nieto,52,M,Ubaque,12,2023-11-24
83,Patricia Valeria García,31,M,Chipatá,2,2024-03-01
84,Marisol Daniela López,34,M,La Jagua de Ibirico,7,2023-12-20
85,Bibiana Quintero,53,M,Roberto Payán,16,2025-04-22
86,Camila Bolaños,67,F,Nimaima,3,2025-03-17
87,Sonia Giraldo Mendoza,57,F,Gigante,13,2024-07-28
88,Leidy Andrea Pardo,21,F,Plato,3,2025-05-23
89,Carlos Parra,19,M,Monguí,18,2023-11-03
90,Anderson Hugo Benavides,79,F,Sesquilé,11,2024-04-24
91,Yaneth Hernández,23,M,Albán,8,2025-01-17
92,Sandra Mejía Vargas,71,M,Lebrija,6,2023-07-01
93,Guillermo Aldemar Escobar,59,M,Albania,1,2024-11-11
94,José González Alzate,21,M,Curumaní,1,2025-03-16
95,Elisa Pérez Mesa,71,F,Morroa,8,2024-12-16
96,Jesús Hurtado Londoño,46,F,Tibú,5,2024-02-04
97,Luz Vargas Rodríguez,35,M,Siachoque,16,2025-02-02
98,Manuel Cano,43,F,Arcabuco,11,2024-03-28
99,Amparo Claudia Rojas,61,M,Argelia,5,2024-03-18
100,Karina Yuri Gutiérrez,51,F,Floridablanca,4,2025-05-11
101,Omar Torres Agudelo,27,F,Tenerife,6,2024-02-15
102,Omar Jorge Luna Castillo,79,M,La Unión,14,2024-08-09
103,Paola Prada Ávila,53,F,Tiquisio,19,2024-06-06
104,Karen Diana Moreno,31,M,Córdoba,9,2023-12-27
105,Ana María Gómez,48,F,Suárez,12,2024-07-30
106,Ángela Riascos,65,M,Coromoro,11,2025-02-24
107,Segundo Rincón,32,M,Cerinza,14,2025-04-09
108,Dora Omaira Oviedo,25,F,Carmen de Apicalá,16,2024-05-07
109,Manuel Pérez Galvis,31,F,Medina,1,2023-11-21
110,Karen Stella Castillo Muñoz,40,M,Morales,13,2024-04-04
111,Alba Alba Forero,77,F,Falan,13,2024-02-06
112,Lina Morales,74,F,San Benito Abad,2,2024-11-16
113,Fabiola Sofía Jiménez,79,M,Linares,4,2024-03-10
114,Luisa Helena Arévalo,57,M,Florencia,6,2025-01-13
115,Alexis Jaime Jaramillo Álvarez,38,F,Heliconia,5,2024-10-12
116,Víctor Serna Rubio,33,M,Isnos,3,2025-02-01
117,Eugenia Michel Solano Chaparro,62,M,Jericó,1,2023-09-22
118,Jesús Aldemar Guzmán,35,M,Chinácota,4,2024-10-24
119,Lucía Martha Ramírez,64,F,Rivera,2,2025-02-04
120,Fernando Rodríguez Pinto,70,F,Úmbita,5,2025-02-17
121,Gerardo Pinto García,41,M,Filandia,3,2024-11-23
122,Armando Héctor Bautista Aguirre,43,F,Distracción,9,2024-03-22
123,Alba Sandoval,42,M,Chiriguaná,6,2024-08-10
124,Alicia Castillo,77,F,Alto Baudó,18,2023-09-10
125,Luz Rocío Montoya,77,M,Pácora,6,2025-03-13
126,María Camargo Ríos,77,M,Sopetrán,19,2024-01-19
127,Edilma Contreras Torres,62,F,Roncesvalles,12,2025-01-18
128,Smith Ramírez Suárez,58,M,Calima,11,2023-10-11
129,Luz Bernal Cárdenas,46,F,Siachoque,2,2023-08-02
130,Jair Efrain Cárdenas,32,F,San Jacinto del Cauca,15,2024-03-04
131,Nelcy Gómez,62,M,Villanueva,12,2023-11-16
132,Inés Vega,18,M,Jordán,12,2024-08-20
133,Gregorio Luis Tovar Rojas,42,F,Silvia,9,2024-10-28
134,Lorena Yuliana Vergara,24,M,Carmen del Darién,2,2024-12-23
135,Carmenza Luz Orozco Pérez,26,M,Jerusalén,3,2024-06-25
136,Manuel Ramírez,41,M,Luruaco,12,2024-01-28
137,Dayana Herrera,18,M,Rionegro,16,2024-02-19
138,Jesús Herrera,61,M,Guaca,1,2024-10-23
139,Esther Zuluaga,25,F,Villa Caro,3,2024-01-16
140,Yaneth Marina Valencia Quintero,41,F,Carmen de Carupa,2,2024-03-02
141,Ana Hernández Pinzón,28,M,San Martín,9,2025-03-16
142,María Johanna García,68,M,San Pelayo,19,2025-04-10
143,David Óscar Rodríguez,34,M,Cáchira,15,2024-10-16
144,Angélica Inés Sarmiento,25,F,Purísima de la Concepción,18,2025-02-20
145,Jorge Hernández Jaramillo,52,M,San Andrés,11,2024-06-11
146,Herney Morales Toro,52,F,Güepsa,16,2023-09-23
147,Diego Durán Álvarez,50,F,Maceo,17,2024-09-07
148,Pedro Vásquez Parra,76,F,Cumaribo,5,2024-11-25
149,Luisa Garcés Murillo,22,M,Guadalajara de Buga,12,2025-02-01
150,Ricardo Bustos Álvarez,59,F,Albán,11,2024-07-01
151,Antonio Velasco,56,M,Toribío,15,2025-05-05
152,Natalia Mesa Villegas,75,F,Pácora,3,2024-12-20
153,María Dora Gutiérrez,58,M,Cartagena de Indias,1,2024-03-05
154,Giovanni Suárez Hernández,45,F,El Paso,16,2023-10-05
155,María Suárez,24,M,El Charco,2,2024-07-13
156,Samuel Alejandro Escobar Camacho,26,F,Río Viejo,2,2024-08-14
157,Isabel Katerine Contreras Vargas,25,M,Vistahermosa,3,2024-02-13
158,Felipe Eduardo Pérez Villamil,29,M,Puerto Boyacá,8,2023-11-25
159,Amparo Mendoza,51,M,El Piñón,15,2023-11-26
160,Alix Chacón Osorio,50,M,La Salina,7,2023-09-23
161,Elsa Ana Rivera,65,F,Puerto Carreño,6,2025-01-13
162,José Vásquez,72,F,Santuario,9,2025-05-16
163,Elena Clara Flórez,40,M,Machetá,1,2023-10-01
164,Wendy Valencia Lara,79,F,Lloró,8,2023-10-09
165,Adriana Vélez Martínez,41,M,Tibú,3,2025-04-27
166,María Villa Gutiérrez,54,M,Andes,4,2023-07-26
167,Rosa Omaira Prieto Cáceres,52,F,Génova,15,2023-07-28
168,Juan Torres,61,M,Arjona,6,2024-03-13
169,Julieth Luz Padilla,57,M,Quipile,15,2024-01-31
170,Jorge Manuel Rojas,39,F,Pueblo Nuevo,3,2023-06-11
171,Eduardo Rincón Ospina,44,M,Santa Cruz de Mompox,14,2023-08-13
172,Marcela Medina,52,M,Villa del Rosario,14,2024-10-22
173,Cecilia Yaneth Vargas,18,M,La Pedrera,4,2024-05-15
174,Raquel Jaimes Pérez,52,M,Patía,12,2023-11-30
175,Fernando Agudelo,54,F,Firavitoba,17,2024-04-21
176,Andrés Edilberto Orozco Guzmán,64,F,Calarcá,7,2024-11-16
177,Elena Patiño,31,F,San Carlos,9,2024-10-01
178,Edilma Cerón Guzmán,20,M,Bosconia,3,2025-02-05
179,María Elena Castillo,18,M,Tenerife,13,2024-06-22
180,Pedro Mario Gómez,22,F,San Juan de Rioseco,15,2024-05-17
181,Raquel Mary Hernández,43,M,Los Patios,18,2025-03-23
182,María Arévalo Molina,72,M,Envigado,19,2023-12-18
183,Blanca Álvarez,31,M,Uramita,1,2025-03-08
184,Carmen Elsa García Sánchez,56,M,Risaralda,6,2024-12-23
185,Edilson José Castro,44,F,Linares,2,2023-07-15
186,Víctor Santiago Morales,26,F,Chiriguaná,14,2023-09-22
187,Aníbal Villegas González,32,F,Usiacurí,6,2024-08-14
188,Paola Aura Miranda Arias,32,M,Villeta,14,2025-01-04
189,David Suárez,43,F,María la Baja,4,2023-06-11
190,Paula Adriana Paz,59,F,Olaya,8,2025-01-08
191,Rocío Lorena Gómez,77,M,Pedraza,3,2024-01-18
192,Maritza Arenas,30,M,Campo de la Cruz,19,2025-01-15
193,Andrés Silva Mendoza,68,F,Icononzo,14,2024-09-03
194,Carlos José González,49,F,Marmato,17,2023-10-06
195,Angélica Karen Fajardo Cuéllar,56,F,Morroa,8,2025-06-03
196,Carlos Jhonny Correa,66,F,Manatí,14,2025-01-26
197,Jaime Espinosa Márquez,69,M,Fresno,6,2024-01-29
198,Graciela López Cárdenas,78,F,Soatá,16,2023-09-02
199,Johana Fernanda Barbosa,49,F,Puerto Colombia,19,2024-01-22
200,Alix Barrios Rodríguez,21,M,Belmira,14,2024-10-28
201,Orlando Julio Contreras,47,F,Guachetá,19,2023-06-21
202,Andrés Pérez González,54,M,Jamundí,3,2023-08-23
203,José Mosquera Galindo,40,M,Tuta,10,2023-08-29
204,Stella Torres Vargas,56,M,San Jacinto,19,2024-04-08
205,Gonzalo Germán Zambrano,62,F,Santa Bárbara de Pinto,9,2024-11-05
206,Ángel Bernal,32,F,Fonseca,13,2023-06-10
207,Albeiro Benítez Luna,60,M,Tibacuy,7,2024-01-28
208,Edwin Cárdenas,46,F,Paipa,14,2023-09-10
209,Jesús Campo,53,F,Circasia,9,2025-05-25
210,Hermes Hernando Jiménez,30,M,El Cerrito,19,2025-04-15
211,Diana Jiménez,49,M,San Cristóbal,15,2025-05-03
212,Diana Nancy Fajardo Ruiz,24,F,Aipe,14,2025-05-16
213,Gina Sepúlveda,76,M,Tununguá,6,2024-06-18
214,Milena Deisy Lozano,68,F,San Carlos,4,2024-11-03
215,Rocío Astrid Rodríguez Escobar,39,F,Remolino,8,2024-08-12
216,Alfredo García Ortiz,45,F,Rionegro,17,2024-03-06
217,Tulio Guerrero Castaño,19,F,Girón,9,2024-07-28
218,Cristhian Hugo García,59,M,Restrepo,1,2024-03-16
219,Magaly María Erazo,62,M,San Luis de Palenque,14,2023-11-28
220,Antonio Camilo Rivera Marín,79,M,La Ceja,11,2025-01-14
221,María Viviana Forero,74,M,Murillo,3,2024-01-17
222,Consuelo Tatiana Bonilla,70,F,Ibagué,9,2024-10-30
223,Edwin Suárez Torres,23,F,Santa Rosa,14,2024-06-19
224,Dolores Navarro Castillo,45,M,Monguí,9,2024-12-10
225,Fernando Dario Domínguez,45,F,Charta,4,2024-01-31
226,Jean Luis Castrillón Camargo,61,F,Guaitarilla,4,2024-03-09
227,Rosario Garcés Rojas,61,F,Unguía,8,2025-01-29
228,Nelly Vega Herrera,37,M,Villa del Rosario,2,2024-03-21
229,David Óscar Rodríguez,47,M,Tello,9,2025-02-24
230,José Santiago Villamizar Nieto,79,M,San Pablo,14,2023-10-20
231,Alberto González,28,F,Villavieja,9,2023-09-13
232,Armando López,75,M,Puerto Arica,16,2024-11-29
233,José Stiven García Bonilla,72,M,Santa Ana,17,2024-07-08
234,Jackeline Gabriela Meza Arias,45,M,Malambo,16,2023-10-29
235,Fernando Leider Palacios Melo,42,M,Fundación,12,2025-03-20
236,Daniela Sanabria,56,M,Galeras,3,2024-05-13
237,Lina Ana Díaz,79,M,Tota,11,2025-01-25
238,Alberto Javier Loaiza Franco,50,F,El Tambo,14,2025-01-07
239,Simón Cabrera Cardona,18,F,La Vega,18,2024-12-02
240,María Carolina García Franco,74,M,Aguadas,5,2024-08-13
241,Andrés Sergio Aguirre,44,M,Boavita,16,2024-09-05
242,Ruth Catherine Rodríguez,79,F,Teruel,5,2024-03-25
243,Julia Cárdenas Rodríguez,74,F,Cajamarca,3,2023-12-06
244,María Garzón,69,M,Río Quito,12,2024-05-18
245,Esneider Bonilla,30,M,Olaya,1,2024-07-02
246,Patricia Hilda Reyes Correa,58,M,Guataquí,9,2024-11-24
247,Eduard Erick Guerrero,20,M,Pijiño del Carmen,9,2024-12-13
248,María Cecilia Velásquez,56,F,Fómeque,4,2024-10-27
249,Carlos Jaimes,23,M,Quípama,3,2024-05-24
250,Carlos Pérez Rodríguez,25,M,Ovejas,17,2024-03-07
251,Alirio Juan Valderrama Gil,44,M,Chiriguaná,2,2024-05-11
252,Jairo Restrepo,26,M,Molagavita,1,2023-08-12
253,Yasmín Blanca Hernández Roa,79,F,Yacuanquer,8,2024-07-31
254,Lizeth María Leal Pérez,54,F,La Paz,13,2024-11-14
255,Santos Juan Gómez Castro,50,F,Medina,15,2024-10-19
256,Olga Giraldo,68,M,San Andrés,8,2024-02-14
257,Carolina Gómez,59,M,Cuítiva,12,2024-05-30
258,Héctor Garzón Yepes,61,F,Caramanta,12,2023-11-25
259,Stiven Diego Rincón Giraldo,41,M,Ubalá,14,2025-03-01
260,Maritza Osorio,32,M,Providencia,15,2023-12-19
261,Armando Sierra,76,F,San José del Palmar,15,2024-11-08
262,Arturo Vargas Montoya,71,F,Quebradanegra,9,2024-05-01
263,Eder William Cano,49,F,Fusagasugá,19,2024-05-16
264,Alejandra Arévalo,49,F,Vianí,8,2024-02-20
265,Edith Martha Martínez,41,M,Panqueba,19,2025-02-14
266,Luis Jefferson Hernández Vélez,58,M,Galán,6,2024-12-06
267,Gregorio Manuel Torres,69,F,Tocancipá,19,2024-11-04
268,Felipe Hernández,66,M,Patía,4,2024-12-26
269,Margarita Burbano,79,F,Taminango,7,2023-12-19
270,Felipe Palacios,66,F,Villamaría,4,2024-11-17
271,Ángel Arbey Castañeda Ocampo,75,M,Salento,12,2024-10-17
272,Edilberto Juan López,69,F,Chivatá,13,2025-05-03
273,Alejandra Elena Nieto,29,M,Chocontá,3,2024-02-29
274,Alexis Eduardo Lara Serna,79,M,Dosquebradas,12,2024-01-26
275,Amanda Barrios,56,M,"Bogotá, D.C.",2,2025-03-26
276,Néstor Eduardo Benítez Rodríguez,19,M,Guayatá,2,2024-10-23
277,Augusto Yesid Díaz,20,F,Tangua,9,2023-11-27
278,Carlos Gómez Salcedo,66,M,San Jerónimo,1,2025-04-16
279,Adriana González,54,F,Guamal,8,2024-04-29
280,Santiago Torres Salazar,66,F,Rondón,6,2024-06-19
281,Consuelo Cielo Vallejo,73,F,Melgar,6,2024-12-01
282,Rosario Ángela Pérez Martínez,34,F,Córdoba,18,2023-10-22
283,Jorge Jiménez Mora,76,M,El Cairo,17,2024-12-13
284,Catalina Socorro Castillo Amaya,66,M,Rionegro,12,2024-12-28
285,Alejandro Alejandro Agudelo,19,F,Cereté,6,2023-06-08
286,David Luis Camacho,19,F,El Dorado,8,2024-09-17
287,Luis Javier Arias Franco,45,M,Cartagena del Chairá,19,2025-05-21
288,Paola Ana Álvarez Serna,71,F,Anserma,10,2024-07-15
289,Luisa García Serna,40,M,Piedecuesta,1,2024-04-21
290,Alejandra Romero,54,F,Belén,13,2024-12-18
291,María Alfonso Triana,49,M,Orito,17,2024-08-19
292,Ramiro David Sepúlveda Narváez,50,F,Suesca,3,2025-02-17
293,Laura Paula Silva,18,F,San Mateo,8,2024-09-14
294,Raúl Hernández,36,M,Yalí,14,2023-11-02
295,Santos León,79,F,Armenia,3,2024-03-10
296,Sofía Zambrano Moreno,19,F,Cañasgordas,16,2024-03-25
297,Ángela Medina,70,M,Molagavita,13,2025-04-08
298,Luz Mejía Cárdenas,61,F,Tona,17,2024-01-24
299,Andrés Yesid Luna,43,M,Cocorná,13,2024-02-25
300,Marino Rosero,49,M,Durania,6,2023-12-26
301,Jesús Julio Pacheco Marín,23,F,Venecia,17,2025-04-06
302,Jorge José López González,49,F,San Carlos de Guaroa,14,2024-10-17
303,Paola Maritza Palacio Carrillo,72,F,Choachí,17,2024-09-12
304,Javier Ortiz Muñoz,21,F,Palestina,8,2023-09-23
305,Pedro Bastidas Ochoa,72,F,Vetas,11,2024-08-01
306,Ana María Uribe,28,F,Murillo,1,2023-07-29
307,Luisa Hernández Pacheco,73,F,El Carmen de Viboral,7,2024-02-29
308,Lina Stella Parra,76,M,Tibasosa,17,2025-05-19
309,Javier Ballesteros,34,F,San Pedro de los Milagros,10,2025-05-20
310,Antonio Gómez Díaz,55,M,Inírida,11,2025-04-23
311,Salvador Arboleda Guerra,41,F,San Vicente Ferrer,9,2025-01-09
312,Julio Andrés Martínez Hoyos,22,F,Sopó,9,2024-07-24
313,Maribel Bejarano,69,M,Palmas del Socorro,5,2023-11-01
314,Wendy Rodríguez Castañeda,51,F,La Unión,17,2023-08-12
315,Wilman Moreno,23,F,Tangua,9,2025-03-30
316,Yasmín Carmen Toro,39,M,Córdoba,17,2025-05-26
317,Heidy Carmen Jaimes,28,F,Rionegro,19,2024-11-07
318,Ana Adriana Santos Ruiz,65,F,Contadero,7,2023-11-17
319,Maritza Agudelo Tovar,33,F,Cumbitara,9,2023-07-08
320,Hernán Castrillón,50,M,López de Micay,7,2025-03-03
321,Elkin Alfonso Castro Castro,26,F,El Colegio,13,2025-05-27
322,Amparo Gallego Díaz,77,F,Calamar,11,2024-03-16
323,José Martínez Pérez,76,F,Hato Corozal,14,2023-11-27
324,Eduardo Carlos Vanegas,23,F,Bucarasica,19,2024-07-25
325,Álvaro Mauricio Parra Rojas,33,M,Angelópolis,11,2025-04-21
326,David Martínez Rojas,46,M,Tibasosa,13,2023-09-23
327,Rita Laura Gonzáles,20,F,Sutamarchán,14,2025-06-03
328,José Díaz Rodríguez,37,F,Santa Marta,13,2024-10-12
329,Judith Medina Ramos,77,M,La Apartada,1,2024-02-19
330,Edith Mercedes León,76,M,Cimitarra,8,2025-03-11
331,Diana Claudia Pérez Pineda,53,F,Amalfi,12,2024-01-31
332,John Giovanny Bernal,36,M,Gachantivá,19,2023-09-22
333,Brayan Suárez,43,F,Santa Lucía,12,2024-04-04
334,José Steven Galeano Espinosa,20,M,San Andrés,8,2023-12-04
335,María Clara Guevara Medina,36,M,Caucasia,8,2024-10-02
336,Daniel Jhoan Gutiérrez,37,M,Anserma,13,2024-01-09
337,Carlos Felipe Montenegro,49,M,Tibasosa,12,2024-01-14
338,Silvia María Camargo,24,F,Montelíbano,16,2024-08-03
339,Socorro María Rodríguez Romero,69,M,Puerto Escondido,1,2025-03-21
340,Cristina Yohana Arrieta Ardila,58,M,Polonuevo,13,2024-05-20
341,José Juan García,50,F,Cisneros,7,2023-09-28
342,Stella María Hurtado,57,M,Betulia,5,2024-05-06
343,Uriel Cantillo Villamizar,56,M,Guatavita,8,2024-02-03
344,José Alexander Vásquez Restrepo,35,F,Cotorra,14,2023-11-25
345,Andrés Gerardo García,57,M,Anorí,13,2024-12-03
346,Ángela Astrid Quintero García,18,F,Pajarito,15,2024-12-15
347,Gloria Adriana Jaramillo Bernal,28,F,Inírida,17,2024-03-19
348,Adriana Vásquez,45,F,Villapinzón,15,2024-10-31
349,Claudia Ángela Perdomo,74,F,Tópaga,18,2023-11-11
350,José Jaime Mantilla Sarmiento,42,M,San Carlos,18,2024-05-03
351,Arley Giraldo,67,F,Balboa,2,2024-10-14
352,Enrique Ricardo Salcedo Díaz,40,M,Anapoima,4,2025-01-23
353,Armando David Loaiza,48,M,Fúquene,1,2023-10-14
354,María Silvia Estrada Estrada,47,M,San Roque,4,2023-10-03
355,Carlos Rafael Oviedo Perea,59,M,Los Santos,18,2024-03-21
356,Luis David Marín Muñoz,52,M,Úmbita,5,2024-06-03
357,Fernando Arias,24,M,Puerto Asís,19,2025-01-29
358,María Elena Cortés,77,M,Guachetá,15,2023-10-18
359,Milena Amaya González,33,M,Chivolo,8,2024-12-13
360,Ricardo John Ramírez,43,M,Tame,17,2025-04-03
361,Mónica Portilla,65,M,Repelón,1,2024-09-30
362,Alexander Peña,74,F,Lourdes,12,2024-07-29
363,Esteban Daniel Maldonado,69,F,Montebello,19,2023-06-27
364,Dolores María Giraldo Soto,77,F,Miranda,15,2024-09-28
365,Rafael Alberto Herrera Mosquera,66,M,Santa Bárbara,9,2023-12-30
366,Elena Hernández Herrera,19,F,Consacá,7,2025-04-07
367,Fernando Reyes,18,F,Manizales,2,2024-12-13
368,Andrés Beltrán,65,F,Nemocón,9,2024-06-02
369,Lucía Carrillo,79,M,Sabaneta,10,2024-05-28
370,Valentina Pérez,29,M,El Águila,2,2024-07-10
371,Karen Mejía Gómez,22,M,San Agustín,19,2023-07-15
372,Jesús López Betancur,54,M,Sopetrán,11,2024-08-07
373,Wilber Lozano,49,F,Puerto Carreño,13,2024-01-25
374,Enrique Valencia Ruiz,76,F,Lejanías,10,2023-10-03
375,Diego Daniel Burbano Moreno,72,F,Anzá,14,2024-06-30
376,Margarita Vera Ruiz,26,F,Puerto Tejada,18,2024-07-27
377,Alexander Alberto Alfonso Sierra,58,M,Santo Domingo,19,2024-11-07
378,María Martha Hernández,52,M,Corozal,9,2024-12-18
379,Rafael Bolívar,36,M,Achí,7,2023-11-14
380,Pilar Burbano López,65,F,Alejandría,3,2023-11-09
381,Diana Duque López,33,M,Cuaspud Carlosama,6,2025-01-26
382,Martha María Zambrano,20,M,Arroyohondo,2,2023-11-26
383,Paula Martha Ardila,37,F,Timbiquí,6,2025-04-09
384,Yenny Judith Restrepo,41,F,Ginebra,3,2023-07-20
385,Carmen Martha Molano Guerrero,71,M,Filadelfia,16,2024-06-25
386,Rosa Rodríguez Mercado,73,M,Sotará Paispamba,8,2025-05-19
387,Sebastián García,50,M,Manaure,2,2024-09-17
388,Antonio Alberto Álvarez Díaz,41,M,Garzón,17,2024-01-20
389,Kevin Alberto Hernández Gallego,69,M,Pajarito,9,2024-03-31
390,Milena Aura García,28,M,Tello,12,2023-07-26
391,Edwin Gonzalo García Guerrero,66,F,Santa Rosa de Osos,3,2025-03-21
392,Andrea María Figueroa Ortega,25,F,Génova,11,2025-03-22
393,Fernando Fernando López Gonzáles,53,F,Sutamarchán,1,2023-08-14
394,Manuel Alfonso Domínguez,55,M,Cómbita,13,2025-04-06
395,Alexandra Arango Muñoz,57,F,Yaguará,15,2025-06-04
396,Paola Triana,37,M,Tibirita,5,2024-01-20
397,Fabio Juan Tamayo Morales,79,M,Puerto Colombia,17,2024-07-28
398,Alonso Castillo Ayala,52,F,Ábrego,6,2024-04-10
399,Francisco Carrillo,65,M,Lenguazaque,11,2024-02-22
400,Helena Tania Alvarado Rincón,79,M,Manatí,18,2025-02-25
401,Sebastián Javier Giraldo Cruz,42,F,Bosconia,4,2023-06-29
402,Francisco Hernández,52,F,Turbaco,3,2023-06-13
403,Stella Murcia Acosta,42,F,María la Baja,13,2024-05-27
404,Elena Sierra,46,M,Vergara,9,2024-10-11
405,Liliana Alexandra Flórez Silva,35,F,Herveo,6,2023-10-04
406,Antonio Carlos Arboleda Sierra,63,F,Regidor,12,2023-12-07
407,Mery Fuentes,35,M,Belén de los Andaquíes,2,2024-10-08
408,Hernán Jhon Villa Martínez,19,F,Acacías,3,2024-02-20
409,Carmen Correa Monroy,71,F,Socha,3,2025-04-17
410,Andrés Mendoza Sepúlveda,52,F,Nocaima,12,2024-02-06
411,Gustavo Durán Jiménez,33,M,Flandes,15,2025-03-24
412,Rafael Hugo López,78,M,Paipa,9,2023-11-21
